match_id,home_team,away_team,total_eventos,passes,chutes,faltas,escanteios,amarelos,vermelhos
3879608,Bologna,Hellas Verona,3733,1007,22,29,0,0,0
3879551,Hellas Verona,Lazio,3292,885,19,31,0,0,0
3879575,Hellas Verona,Udinese,3766,1075,25,27,0,0,0
3879542,Hellas Verona,Inter Milan,3579,958,25,26,0,0,0
3879600,Carpi,Hellas Verona,3085,859,22,41,0,0,0
3879557,Chievo,Hellas Verona,3307,927,27,34,0,0,0
3879819,Carpi,Genoa,3406,879,31,40,0,0,0
3878541,AS Roma,Hellas Verona,3251,891,33,23,0,0,0
3879664,Palermo,Sampdoria,3406,913,28,44,0,0,0
3879863,Atalanta,Udinese,3560,1074,13,31,0,0,0
3879773,Frosinone,Udinese,3669,1008,28,28,0,0,0
3879847,Torino,Udinese,3400,938,28,24,0,0,0
3879862,Napoli,Torino,3911,1127,22,30,0,0,0
3879817,Inter Milan,Napoli,3886,1116,22,33,0,0,0
3879825,Empoli,Lazio,3925,1112,25,21,0,0,0
3879750,Atalanta,Fiorentina,3538,950,28,26,0,0,0
3879567,AS Roma,Empoli,3825,1100,23,29,0,0,0
3879785,Atalanta,Lazio,3587,966,16,40,0,0,0
3879705,Bologna,Sassuolo,3644,978,30,29,0,0,0
3879628,AC Milan,Sampdoria,3652,967,32,33,0,0,0
